2026-04-09 15:19:42,27.87,20.07,50.48,668.63,0.0868,5.22
2026-04-09 15:19:47,19.88,20.78,55.61,528.59,0.038,4.95
2026-04-09 15:19:52,22.43,7.41,54.45,624.4,0.088,4.2
2026-04-09 15:19:57,27.18,7.38,59.23,615.18,0.0681,5.81
2026-04-09 15:20:02,23.13,17.83,54.21,507.2,0.0684,6.09
2026-04-09 15:20:07,20.11,14.28,52.93,694.73,0.0582,4.39
2026-04-09 15:20:12,28.65,8.22,54.84,511.87,0.0285,4.72
2026-04-09 15:20:17,20.99,4.02,52.42,563.09,0.0476,6.75
2026-04-09 15:20:22,21.79,5.41,58.29,586.23,0.0978,5.76
2026-04-09 15:20:27,26.78,15.88,53.28,693.37,0.061,5.81
2026-04-09 15:32:57,24.2,6.17,50.04,623.71,0.0701,6.03
2026-04-09 15:33:15,21.92,12.56,52.11,565.2,0.0483,4.02
2026-04-09 15:33:30,24.82,11.58,51.23,546.29,0.083,6.76
2026-04-09 15:33:30,23.07,15.99,53.33,694.55,0.0965,4.14
2026-04-09 15:33:31,29.68,3.41,58.17,695.39,0.0584,5.56
2026-04-09 15:33:31,24.62,6.9,54.21,713.42,0.0651,4.53
2026-04-09 15:36:36,24.89,4.29,53.79,601.29,0.0267,6.21
2026-04-09 15:36:37,29.0,6.23,53.48,594.62,0.0209,4.31
2026-04-09 15:39:15,25.46,15.85,53.26,684.24,0.051,6.88
2026-04-09 15:39:20,25.69,8.22,54.84,511.94,0.0318,4.72
2026-04-09 15:39:25,21.64,16.1,54.2,610.22,0.03,4.78
2026-04-09 15:39:30,27.52,6.24,54.31,612.39,0.0692,4.81
2026-04-09 15:39:35,28.96,13.08,52.77,691.29,0.0569,4.1
2026-04-09 15:39:40,19.52,12.38,51.61,545.58,0.0827,6.63
2026-04-09 15:39:45,28.76,3.22,57.25,666.86,0.0862,6.76
2026-04-09 15:39:50,25.11,18.71,59.42,610.43,0.0652,4.41
2026-04-09 15:39:55,21.02,7.53,54.51,504.81,0.0675,4.74
2026-04-09 15:40:00,26.01,17.13,59.49,508.87,0.0373,6.61
2026-04-09 15:40:05,19.92,1.28,56.74,561.59,0.0503,6.97
2026-04-09 15:45:28,20.39,17.05,59.04,705.36,0.0205,4.17
2026-04-09 15:45:33,20.58,5.35,53.88,500.19,0.0274,6.24
2026-04-09 15:45:38,26.83,8.49,55.38,523.55,0.0427,5.38
2026-04-09 15:45:43,25.33,6.42,53.57,690.73,0.0951,6.97
2026-04-09 15:45:48,26.05,10.28,55.41,524.13,0.0331,6.08
